TABLE _NAME,COLUMN_NAME,DATA _TYPE,DATA _LENGTH,FIELD _DESCRIPTION,,
ACCIDENTS,MINE _ID,VARCHAR2,7,Identification number assigned to the mine by MSHA   It is the mine identification number of the mine where the accident injury illness occurred   Use mine _id to join to the Mines and Inspections tables   Use mine _id and cal _yr to join to mine _id and cal _yr in Qrtly and Annual Employ Emprod tables ,,
ACCIDENTS,CONTROLLER _ID,VARCHAR2,7,Identification number assigned by MSHA Assessments for a Legal Entity acting as a controller of an operator at the time of the accident    May contain null values    ,,
ACCIDENTS,CONTROLLER _NAME,VARCHAR2,100,Name of the controller active at the time of the accident   May contain null values  ,,
ACCIDENTS,OPERATOR _ID,VARCHAR2,7,Identification number assigned by MSHA for a Legal Entity acting as an operator at a mine at the time of the accident   May contain null values ,,
ACCIDENTS,OPERATOR _NAME,VARCHAR2,60,Name of the operator active at the time of the accident   May contain null values ,,
ACCIDENTS,CONTRACTOR _ID,VARCHAR2,10,Identification number assigned by MSHA for companies working as contractors at a mine   It is the contractor id of the contractor or contractor employee involved in the accident injury   May contain null values if the accident did not involve a contractor ,,
ACCIDENTS,DOCUMENT _NO,VARCHAR2,12,Document number assigned to the accident injury form   The first number designates the type of document   1   employment,  2   injury and  3   closing document   The next seven are the Julian date  YYYYDDD     The last four characters are a sequential number ,
ACCIDENTS,SUBUNIT _CD,VARCHAR2,2,Code that identifies the location within a mine where the accident injury illness occurred ,,
ACCIDENTS,SUBUNIT,VARCHAR2,32,Description of the subunit code referring to the location within a mine where the accident injury illness occurred  01   Underground   02   Surface at underground   03   Strip, quarry, open pit   04   Auger   05   Culm bank refuse pile   06   Dredge   12   Other mining   17   Independent shops or yards   30   Mill operation preparation plant   99   Office workers at mine site  
ACCIDENTS,ACCIDENT _DT,DATE,10,Date the accident injury illness occurred  mm dd yyyy   ,,
ACCIDENTS,CAL _YR,NUMBER,4,Calendar Year in which the accident injury illness occurred   It is based on the accident date ,,
ACCIDENTS,CAL _QTR,NUMBER,1,Calendar Quarter in which the accident injury illness occurred   It is based on the accident date ,,
ACCIDENTS,FISCAL _YR,NUMBER,4,Fiscal Year in which the accident injury illness occurred   MSHA s fiscal year begins October 1 and ends September 30   It is based on the accident date ,,
ACCIDENTS,FISCAL _QTR,NUMBER,1,Fiscal Quarter in which the accident injury illness occurred   It is based on the accident date ,,
ACCIDENTS,ACCIDENT _TIME,NUMBER,4,Time the accident injury illness occurred  24  hour clock   ,,
ACCIDENTS,DEGREE _INJURY _CD,VARCHAR2,2,Code identifying the degree of injury illness to the individual ,,
